R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4
-91.106019,132361.7923,148.888813,131734.9606,28.894262,132437.0121,-90.14345,265.69261,149.73679,266.05883,29.770887,265.69261,-91.106019,132186.2794,0,0,0,0,-90.212205,265.87572,0,0,0,0,59.999,0,14.16926384,-0.01768,0,-95.185479,131208.4219,144.84946,131208.4219,24.860639,131233.4952,76.42684,270.27036,-43.539063,270.08725,-163.58518,269.53792,-95.16256,131208.4219,0,0,0,0,76.43257,270.08725,0,0,0,0,60,0,13.77461253,-2.992792,0,-95.219856,131183.3486,144.815083,131158.2754,24.797613,131258.5685,76.512784,267.15749,-43.934404,267.52371,-163.779986,268.43926,-95.196938,131208.4219,0,0,0,0,76.266412,267.70682,0,0,0,0,60,0,13.98062893,-3.007192,0,-91.216739,132795.9063,148.840026,132638.9531,28.786929,132867.1563,-90.162049,264.141083,149.84528,264.484405,29.852602,264.358521,-91.194767,132767.9375,0,0,0,0,-90.151066,264.329895,0,0,0,0,60,0,14.30385947,-0.018219,0,0,0,0,0,0,0,0,0,0,0,0,0
-91.151856,132361.7923,148.854435,131734.9606,28.859884,132437.0121,-90.212205,265.69261,149.690954,266.24194,29.747969,265.69261,-91.146126,132186.2794,0,0,0,0,-90.258041,265.87572,0,0,0,0,60,0,14.1828493,-0.016431,0,-95.225586,131233.4952,144.809353,131208.4219,24.814802,131233.4952,76.421111,270.27036,-43.57917,270.08725,-163.596639,269.90414,-95.196938,131233.4952,0,0,0,0,76.421111,270.08725,0,0,0,0,60,0,13.78458008,-2.99505,0,-95.259963,131208.4219,144.774976,131158.2754,24.763236,131258.5685,76.466947,266.97438,-44.026077,267.52371,-163.825822,268.25615,-95.237045,131208.4219,0,0,0,0,76.209116,267.52371,0,0,0,0,60,0,14.00643801,-3.007245,0,-91.255193,132792.4219,148.801572,132644.25,28.748475,132883.8125,-90.211492,264.04953,149.823314,264.621735,29.819643,264.432922,-91.23322,132774.6563,0,0,0,0,-90.184021,264.364258,0,0,0,0,60,0,14.31822637,-0.017677,0,0,0,0,0,0,0,0,0,0,0,0,0
-91.180504,132361.7923,148.820058,131734.9606,28.825507,132437.0121,-90.28096,265.5095,149.662306,266.24194,29.673484,265.69261,-91.174774,132186.2794,0,0,0,0,-90.315337,265.69261,0,0,0,0,60,0,14.19384399,-0.015464,0,-95.259963,131208.4219,144.780705,131208.4219,24.780425,131233.4952,76.363815,270.08725,-43.619277,270.45347,-163.659665,269.72103,-95.231315,131208.4219,0,0,0,0,76.363815,270.08725,0,0,0,0,60,0,13.80685765,-2.99321,0,-95.29434,131183.3486,144.746328,131158.2754,24.734588,131258.5685,76.42684,267.15749,-44.054725,267.70682,-163.85447,268.43926,-95.271422,131208.4219,0,0,0,0,76.174739,267.70682,0,0,0,0,60,0,13.99501236,-3.006966,0,-91.288149,132798.0625,148.774115,132645.5156,28.715515,132874.3594,-90.244448,263.849243,149.78486,264.633179,29.770203,264.604553,-91.260685,132771.6094,0,0,0,0,-90.227967,264.358521,0,0,0,0,60,0,14.33857012,-0.018583,0,0,0,0,0,0,0,0,0,0,0,0,0
-91.191963,132361.7923,148.808599,131734.9606,28.814048,132437.0121,-90.252312,265.69261,149.633658,266.24194,29.662025,265.69261,-91.191963,132186.2794,0,0,0,0,-90.315337,265.87572,0,0,0,0,59.999,0,14.1751702,-0.016788,0,-95.271422,131233.4952,144.763517,131208.4219,24.763236,131258.5685,76.358085,270.27036,-43.642195,270.27036,-163.676853,269.72103,-95.242774,131233.4952,0,0,0,0,76.346626,270.08725,0,0,0,0,60,0,13.78554266,-2.993777,0,-95.3058,131183.3486,144.729139,131158.2754,24.723129,131258.5685,76.403922,266.97438,-44.037536,267.70682,-163.837282,268.43926,-95.282881,131208.4219,0,0,0,0,76.174739,267.70682,0,0,0,0,60,0,14.0161242,-3.006363,0,-91.299139,132792.7656,148.757627,132643.3125,28.704529,132875.4375,-90.266421,264.24408,149.779369,264.318481,29.781189,264.541626,-91.277166,132768.4844,0,0,0,0,-90.233465,264.369965,0,0,0,0,60,0,14.29024146,-0.018164,0,0,0,0,0,0,0,0,0,0,0,0,0
-164.410239,138404.4504,75.601781,137727.4721,-44.39277,138479.6702,-151.719224,223.94353,77.950908,257.81888,-30.097473,216.98535,-164.40451,138203.8642,0,0,0,0,-155.025191,231.81726,-95.019321,20.69143,39.998184,19.22655,59.995,-0.21,23.01838871,-0.25775,0,-168.19749,137401.5196,71.854637,137376.4463,-48.145644,137451.6661,13.561911,228.52128,-116.465131,261.29797,135.292524,219.91511,-168.163113,137426.5929,0,0,0,0,10.410643,235.66257,69.465403,20.87454,-153.226103,18.86033,59.993,-0.26,22.14340362,3.084539,0,-168.220409,137401.5196,71.8088,137351.3731,-48.185751,137451.6661,13.229595,225.95774,-116.88912,259.64998,134.902913,221.01377,-168.19749,137401.5196,0,0,0,0,10.038221,234.56391,69.820637,19.77588,-156.337264,19.40966,59.995,-0.25,22.61122426,3.072522,0,-164.523015,138859.0781,75.550232,138698.0625,-44.502869,138962.8594,-151.998606,224.292755,77.978214,256.101624,-30.363466,217.832565,-164.490052,138838.6563,0,0,0,0,-155.168156,231.765747,-96.177069,19.758224,39.009707,18.556595,59.997002,-0.19,22.76593759,-0.256599,0,0,0,0,0,0,0,0,0,0,0,0,0
-167.017197,132361.7923,72.989094,131709.8873,-47.005458,132411.9389,-161.625664,255.98778,74.570457,267.88993,-41.315987,254.70601,-167.011468,132161.2062,0,0,0,0,-162.834605,259.46687,-102.616741,7.3244,25.38776,7.3244,60,0,15.91961291,-0.110679,0,-171.159682,131183.3486,68.886716,131158.2754,-51.113565,131208.4219,5.059217,261.11486,-118.6481,272.28457,125.334518,258.91754,-171.131034,131183.3486,0,0,0,0,3.873195,263.86151,62.767526,7.50751,-167.280758,6.95818,59.999,0,15.38686393,-3.08978,0,-171.18833,131158.2754,68.846609,131108.1288,-51.159402,131208.4219,4.789927,257.81888,-119.014793,271.18591,125.30587,258.00199,-171.171141,131158.2754,0,0,0,0,3.644012,262.21352,63.924901,7.3244,-167.956848,8.05684,59.999,0,15.80400451,-3.08972,0,-167.137762,132765.25,72.935485,132620.2969,-47.123111,132850.0156,-161.694033,255.065918,74.484558,266.658783,-41.333313,254.322052,-167.110291,132744.0938,0,0,0,0,-162.897034,258.539185,-104.208073,7.232666,23.683778,7.329941,60,0,16.03585777,-0.114363,0,0,0,0,0,0,0,0,0,0,0,0,0
-167.085952,132361.7923,72.931798,131709.8873,-47.074212,132411.9389,-162.267377,258.00199,74.220953,268.43926,-41.940511,256.72022,-167.074493,132161.2062,0,0,0,0,-163.361727,260.93175,-105.338291,6.77507,24.178819,6.59196,60,0,15.67395273,-0.100052,0,-171.222708,131158.2754,68.82369,131158.2754,-51.170861,131208.4219,4.417505,262.94596,-118.79134,272.28457,124.778749,261.11486,-171.19406,131183.3486,0,0,0,0,3.437747,265.32639,60.080354,6.59196,-167.888093,6.22574,60,0,15.13319495,-3.078057,0,-171.251355,131158.2754,68.783583,131108.1288,-51.233886,131208.4219,4.302913,259.46687,-119.203869,271.36902,124.76729,259.64998,-171.228437,131158.2754,0,0,0,0,3.248671,263.31218,62.486777,6.59196,-169.389243,7.3244,60,0,15.56296299,-3.081715,0,-167.203673,132779.0625,72.869567,132621.8125,-47.189026,132861.5313,-162.298286,256.937012,74.314275,267.065064,-41.904604,255.844116,-167.176216,132752.4688,0,0,0,0,-163.330997,259.832398,-106.042792,6.551743,24.43634,6.528854,60,0,15.77420759,-0.100882,0,0,0,0,0,0,0,0,0,0,0,0,0
-167.108871,132361.7923,72.90315,131709.8873,-47.097131,132411.9389,-162.519479,258.73443,74.163657,268.80548,-42.129587,257.26955,-167.103141,132161.2062,0,0,0,0,-163.527884,261.48108,-105.710713,6.59196,25.737264,6.40885,60,0,15.59202287,-0.093298,0,-171.245626,131183.3486,68.800772,131133.2021,-51.199509,131208.4219,4.314372,263.49529,-118.848635,272.46768,124.572484,261.29797,-171.216978,131183.3486,0,0,0,0,3.317426,265.69261,60.647583,6.40885,-168.042792,5.85952,60,0,15.04977455,-3.075908,0,-171.274274,131158.2754,68.760665,131108.1288,-51.256804,131208.4219,4.027893,260.19931,-119.221058,271.55213,124.389137,260.74864,-171.257085,131158.2754,0,0,0,0,3.036676,264.04462,64.406186,6.22574,-169.704369,6.77507,59.999,0,15.42441351,-3.076654,0,-167.225653,132765.7813,72.842103,132630.5313,-47.210998,132862.2188,-162.518013,257.509216,74.17694,267.242432,-42.217713,256.885529,-167.198181,132750.6094,0,0,0,0,-163.550724,260.438904,-105.586856,6.214142,22.228089,6.29425,60,0,15.68400437,-0.09932,0,0,0,0,0,0,0,0,0,0,0,0,0
-108.667175,131935.5467,131.350575,131283.6417,11.350294,131985.6933,-107.38948,338.7535,130.210389,348.27522,12.89728,337.83795,-108.649987,131734.9606,0,0,0,0,-108.105677,341.50015,-50.718224,6.04263,79.864587,6.04263,60,0,11.64084714,-0.032465,0,-114.007142,130355.9307,126.033526,130330.8575,6.033246,130381.004,62.383645,344.42991,-59.948574,352.85297,-177.330438,342.4157,-113.972765,130355.9307,0,0,0,0,61.690366,346.44412,116.447942,6.22574,-109.429209,5.67641,60,0,11.26539103,-3.087071,0,-114.03006,130305.7842,125.999149,130280.7109,5.987409,130381.004,62.102895,341.50015,-60.14338,351.5712,-177.290331,339.66905,-114.012872,130330.8575,0,0,0,0,61.541397,344.06369,116.264596,6.22574,-103.109485,6.59196,60,0,11.45193485,-3.077686,0,-108.778385,132341.5469,131.283872,132184.4063,11.225281,132418.7813,-107.410585,337.692261,130.311595,346.504211,12.922668,336.851135,-108.750921,132312.8125,0,0,0,0,-108.069767,340.278626,-52.330628,5.693436,79.966735,5.870819,60,0,11.68940072,-0.033645,0,0,0,0,0,0,0,0,0,0,0,0,0
-122.572861,125341.2767,117.43343,124739.5183,-2.543933,125391.4233,-135.859752,761.55449,103.45326,767.04779,-15.962604,761.92071,-122.561402,125140.6906,0,0,0,0,-136.123313,763.38559,-66.995955,3.47909,38.216285,3.29598,59.997,0.02,4.728173902,0.227117,0,-134.782592,118997.7394,105.240888,118972.6662,-14.730745,118997.7394,39.946617,772.7242,-80.712565,777.30195,159.878143,773.09042,-134.753944,118997.7394,0,0,0,0,39.700246,774.37219,103.877248,3.29598,-148.699737,3.11287,59.997,0.03,4.421063753,-3.054706,0,-134.799781,118972.6662,105.20651,118922.5196,-14.782311,119047.886,0,0,0,0,0,0,-134.794051,118972.6662,0,0,0,0,0,0,0,0,0,0,59.997,0.03,inf,0,0,-82.339788,134577.4844,157.733465,134418.5156,37.674866,134653.7813,0,0,0,0,0,0,-82.312317,134550.1094,0,0,0,0,0,0,0,0,0,0,60.018002,-0.02,inf,0,0,0,0,0,0,0,0,1,1,0,0,0,0
-106.415451,134543.1668,133.596569,133891.2618,13.602018,134593.3134,-110.208432,336.9224,129.826507,337.28862,9.757471,336.55618,-106.398263,134342.5807,0,0,0,0,-110.202702,336.9224,0,0,0,0,59.993,0,11.34366091,0.068163,0,-111.45748,132487.1587,128.566,132462.0854,8.577178,132512.232,59.146433,344.79613,-60.779363,344.42991,179.19255,344.2468,-111.434562,132487.1587,0,0,0,0,59.19227,344.42991,0,0,0,0,59.988,0.01,10.90722995,-2.975767,0,-111.486128,132437.0121,128.531622,132411.9389,8.525612,132512.232,64.704124,349.7401,-52.184996,341.31704,-171.669615,337.65484,-111.474669,132462.0854,0,0,0,0,66.9272,342.78192,13.596288,7.14129,-5.2884,8.23995,59.986,0,10.72011195,-3.009922,0,-106.273502,133843.4531,133.788762,133705.4063,13.730164,133926.1563,-104.674992,349.639893,138.315128,339.574829,18.690492,338.184357,-106.251529,133822.6875,0,0,0,0,-102.576601,342.344299,-157.68952,7.289886,-169.554747,7.387161,59.984001,0.03,10.78537957,0.029945,0,0,0,0,0,0,0,0,0,0,0,0,0
-108.87344,132411.9389,131.14431,131760.0339,11.13257,132462.0854,-112.712258,359.07871,129.471273,351.38809,9.866333,349.00766,-108.861981,132211.3527,0,0,0,0,-111.136624,353.03608,-161.00114,5.67641,-179.501948,6.04263,59.997,0.01,10.4259567,0.113418,0,-114.350917,130305.7842,125.689752,130280.7109,5.70093,130305.7842,57.318698,366.76933,-60.332456,358.34627,179.839993,357.43072,-114.316539,130305.7842,0,0,0,0,58.928709,360.7267,2.652795,5.85952,-4.835764,6.04263,59.999,0.01,10.01459057,-2.951562,0,-114.368106,130255.6377,125.661104,130230.5644,5.643634,130330.8575,61.604422,338.02106,-56.316022,333.07709,-175.80637,329.598,-114.356646,130280.7109,0,0,0,0,63.151408,333.44331,13.899956,4.57775,-13.051979,5.67641,59.997,0,10.96628189,-3.024188,0,-109.239812,131765.5469,130.822452,131613.5938,10.769349,131845.1719,-108.102722,338.745117,134.38751,330.339417,14.729919,329.32663,-109.212341,131739.6875,0,0,0,0,-106.344912,332.725525,-160.73823,6.019592,-173.053894,5.98526,59.999001,0,10.97820912,0.028547,0,0,0,0,0,0,0,0,0,0,0,0,0
-109.629745,131935.5467,130.388005,131308.715,10.381995,132010.7666,-111.337159,349.92321,129.797859,346.81034,10.101246,344.97924,-109.618285,131760.0339,0,0,0,0,-110.483452,347.17656,0,0,174.671913,3.29598,59.999,0,10.72573633,0.055514,0,-114.998359,130280.7109,125.03658,130280.7109,5.047758,130305.7842,58.579205,355.41651,-60.189216,351.38809,-179.994691,349.92321,-114.969711,130280.7109,0,0,0,0,59.45583,352.30364,0,0,-9.344942,3.47909,60,0,10.39431764,-3.003118,0,-115.015548,130255.6377,125.007932,130230.5644,4.990462,130330.8575,58.974546,348.82455,-59.885549,346.99345,-179.46757,344.06369,-115.004089,130280.7109,0,0,0,0,59.87409,346.62723,0,0,-24.471027,3.47909,60,0,10.66856785,-3.008514,0,-109.783632,132219.375,130.278632,132065.9375,10.225525,132305.6094,-110.893251,346.715942,130.542305,342.018127,10.851746,341.04538,-109.756168,132197.5781,0,0,0,0,-109.838567,343.225464,-162.402651,3.679276,179.123842,3.679276,60,0,10.82390615,0.048722,0,0,0,0,0,0,0,0,0,0,0,0,0
-109.750066,131960.62,130.267684,131308.715,10.261674,132010.7666,-111.371536,349.7401,129.723374,346.81034,9.757471,345.71168,-109.732877,131760.0339,0,0,0,0,-110.632421,347.35967,0,0,0,0,60,0,10.69707049,0.050334,0,-115.095762,130330.8575,124.939177,130305.7842,4.938896,130355.9307,58.487532,354.86718,-60.378292,351.38809,179.593621,350.83876,-115.067114,130330.8575,0,0,0,0,59.232377,352.30364,0,0,0,0,60,0,10.39464833,-3.008266,0,-115.11868,130305.7842,124.904799,130280.7109,4.89306,130381.004,58.470343,349.92321,-60.424129,348.82455,179.937396,346.0779,-115.107221,130330.8575,0,0,0,0,59.32405,348.27522,0,0,-26.923287,3.29598,59.999,0,10.64993434,-3.003304,0,-109.877014,132305.2656,130.18525,132164.8594,10.132142,132386.4063,-111.14594,347.12793,130.064396,343.975067,10.263977,342.750549,-109.84955,132283.0781,0,0,0,0,-110.267032,344.604492,0,0,176.607983,3.135681,60,0,10.83099571,0.04713,0,0,0,0,0,0,0,0,0,0,0,0,0
-109.921953,131960.62,130.095797,131308.715,10.101246,132010.7666,-111.520505,349.7401,129.350952,346.99345,9.293375,346.44412,-109.910494,131760.0339,0,0,0,0,-110.953277,347.72589,0,0,0,0,60,0,10.6799275,0.044624,0,-115.26192,130381.004,124.773019,130355.9307,4.784198,130381.004,58.361481,354.31785,-60.716338,351.5712,179.158173,351.02187,-115.233272,130355.9307,0,0,0,0,58.928709,352.30364,0,0,0,0,60,0,10.40815959,-3.013097,0,-115.290568,130330.8575,124.732912,130280.7109,4.726902,130406.0773,58.178135,350.47254,-60.939791,349.92321,179.347249,347.909,-115.273379,130355.9307,0,0,0,0,58.859954,349.37388,0,0,0,0,60,0,10.63277033,-3.007293,0,-110.041813,132347.9219,130.020451,132204.0469,9.972839,132427.7969,-111.382142,347.316742,129.372252,345.565796,9.516907,345.050812,-110.014349,132325.3438,0,0,0,0,-110.832831,345.966339,0,0,0,0,60,0,10.84139027,0.038246,0,0,0,0,0,0,0,0,0,0,0,0,0
-109.939142,131960.62,130.084338,131308.715,10.084057,132010.7666,-111.514776,349.37388,129.299386,347.17656,9.270457,346.0779,-109.921953,131760.0339,0,0,0,0,-110.981925,347.54278,0,0,0,0,60,0,10.70428241,0.044454,0,-115.273379,130381.004,124.76156,130330.8575,4.767009,130381.004,58.338563,354.50096,-60.733526,351.02187,179.152443,351.02187,-115.244731,130355.9307,0,0,0,0,58.911521,352.30364,0,0,0,0,60,0,10.38945701,-3.013616,0,-115.296297,130330.8575,124.727182,130305.7842,4.715443,130406.0773,58.126568,350.65565,-60.95125,350.10632,179.20401,347.72589,-115.284838,130355.9307,0,0,0,0,58.791199,349.55699,0,0,0,0,60,0,10.60477524,-3.005439,0,-110.052796,132352.8594,130.009468,132196.9375,9.961853,132431.1719,-111.404115,347.190857,129.377744,345.090881,9.5224,345.136658,-110.025332,132328.625,0,0,0,0,-110.832831,345.794678,0,0,0,0,60,0,10.84114329,0.037675,0,0,0,0,0,0,0,0,0,0,0,0,0
118.92885,130782.1763,-1.054242,130155.3446,-121.043064,130857.3961,118.459024,435.61869,-4.532096,450.4506,-121.23214,433.78759,118.940309,130606.6634,0,0,0,0,117.536562,439.83022,174.872449,9.88794,-55.021137,9.52172,60,0,9.073268473,-0.005023,0,111.973142,128600.8018,-7.981302,128575.7286,-127.970124,128625.8751,-69.396648,441.47821,167.733395,456.49323,51.03908,438.73156,112.00179,128600.8018,0,0,0,0,-70.238896,445.50663,-13.899956,9.88794,120.727937,9.70483,60,0,8.806856268,-3.126863,0,111.950224,128550.6553,-8.021409,128550.6553,-128.010231,128625.8751,-69.528428,439.83022,167.5214,452.83103,50.597903,437.26668,111.967412,128575.7286,0,0,0,0,-70.496727,443.1262,-13.132193,9.70483,114.471238,8.78928,60,0,8.76905665,-3.130171,0,118.8089,131199.7344,-1.117859,131057.2344,-121.170957,131278.625,118.369446,433.805481,-4.529114,448.877319,-121.324773,432.78122,118.836371,131179.4219,0,0,0,0,117.479554,438.354492,176.075132,9.321213,-55.099184,9.521484,60,0,9.138722323,-0.005624,0,0,0,0,0,0,0,0,0,0,0,0,0
118.911661,130857.3961,-1.065701,130230.5644,-121.065982,130907.5427,118.407458,436.16802,-4.555014,450.4506,-121.318084,434.15381,118.92885,130681.8832,0,0,0,0,117.484996,440.19644,174.757857,9.70483,-55.617013,9.33861,60,0,9.049147604,-0.004522,0,111.973142,128650.9484,-7.992761,128625.8751,-127.981583,128676.0216,-69.499781,441.84443,167.65891,456.31012,50.821356,439.464,111.990331,128650.9484,0,0,0,0,-70.370676,445.68974,-12.920198,9.70483,118.79134,9.33861,60,0,8.77619366,-3.126627,0,111.944494,128625.8751,-8.032868,128600.8018,-128.01596,128701.0949,-69.654479,440.19644,167.429727,452.64792,50.50623,437.08357,111.961683,128650.9484,0,0,0,0,-70.59413,443.1262,-14.52448,9.70483,114.809283,8.42306,60,0,8.758037697,-3.127056,0,118.8089,131259.5781,-1.145325,131100.8125,-121.187445,131349.6875,118.17719,435.058594,-4.584046,449.123383,-121.412664,432.884216,118.819883,131236.7656,0,0,0,0,117.369698,438.886658,173.724058,9.275436,-52.797547,9.149551,60,0,9.09716749,0.001071,0,0,0,0,0,0,0,0,0,0,0,0,0
